QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	Under governments structure, a specific unit is in charge to coordinate the donor's contribution in national level. Within INSTAT's structural organization, a specific unit implement the coordination of projects covered by donors for statistical activities under INSTAT's responsibility.
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	The coordination mechanism for receipt and use of international technical assistance is regulated by the Presidential Decree On international technical assistance provided to the Republic of Belarus No. 460 of 22 October 2003.
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	A donor coordination mechanism is regulated through the Steering Committee
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	
Q10.3a	Details on donor coordination mechanism or basket fund for statistics	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	
